techname,tag,category,companyname,img,tagline,description,srcurl
チルドコーヒー飲料用　多層容器,,住宅・家電,株式会社アイケープラスト,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/ik-plast02.jpg,洗練されたプラスチック技術で様々な付加価値製品を創造,多層押出連動成形技術を用いて酸素バリア、遮光、耐衝撃など複数の機能を付加した機能性容器でチルドコーヒー国内トップシェアのロングセラー商品に採用されています。酸素バリア機能により賞味期限延長化に寄与すると共に、淹れたての風味そのままを皆様のお手元へ届けることができます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/73.html
RFIDリーダライタ製品・ソフト,,機械・ロボット,株式会社アートファイネックス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ict/art-finex02.jpg,豊富なRFID経験と製品ラインナップで様々な用途に適したソリューションを提供,誰もが1枚は持っているICカード（交通系カード、免許証、パスポート、taspo、社員証など）を素早く確実に読み取りができる製品からパレットやコンテナに貼ったRFIDタグを数mの距離から読み取る製品まで用途に適した製品、RFIDタグ、制御用ソフトウエアをご用意しています。また導入検討から事前検証、構築、運用に至る各フェーズで、豊富な経験を持つ技術者がお客様をしっかりとサポートします。RFID技術を生かすのは①リーダライタ機器、②RFIDタグ（ICカード）、③動作環境、④制御用ソフトウエアの4つの条件で決まります。RFIDで課題解決ができないか…と検討される際は、お気軽にご相談ください。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/154.html
自動車のパワートレイン部品（T/C）,,自動車,株式会社アイシン福井,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/aisin-aw02.png,部品の進化で、クルマの新たな価値を創造する。,アイシン福井は、eAxle（イーアクスル）などの電動駆動ユニットやハイブリッドトランスミッション、オートマチックトランスミッションの構成部品を手掛けています。自動車の燃費向上やCO2低減をはじめ、走る楽しさと心地良さに貢献する当社製品群は、クルマに乗る人に走る喜びと感動をお届けしています,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/087.html
ゴルフ用カーボンシャフトの装飾,世界シェア1位,スポーツ,アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/eyetech02.jpg,ゴルフ用カーボンシャフトの表面処理で世界シェアNo.1,従来のゴルフ用カーボンシャフトへの表面処理は塗装品がほとんどで、メタルシャフトのような高級感のある外観が求められていました。当社は、イオンプレーティングにて金属膜を付けることにより、高級感のある仕上がりを実現。その技術が評価を受け、ゴルフ用カーボンシャフトの表面処理において世界シェアナンバーワン（90％）を誇ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html
メガネフレームの表面処理,国内シェア1位,ファッション,アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/eyetech03.jpg,メガネメタルフレームの表面処理で国内シェアNo.1,メガネフレームは、少量多品種の最たるもので、装飾、耐腐食性の向上を目的とした表面加工に関しても、その種類は当社だけでも1万種類を超えます。めっき、電着塗装、イオンプレーティングを組み合せていろいろな加工を行っています。現在多くなってきているチタン合金を材料としたメタルフレームにもこれらの組合せで対応しており、当社は、メタルフレームへの表面処理において国内シェアナンバーワン（約60％）を誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html
無接点でのイオンプレーティング加工,国内シェア1位,カルチャー,アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/eyetech04.jpg,接点跡を残さないイオンプレーティング加工で国内シェアNo.1,表面処理を行う場合は必ず対象物を治具に固定するため、その接点の跡が残りますが、パチンコ玉やスロットルのコインなど、接点の跡が残ってはいけない製品があります。当社は、接点跡を残さずに窒化チタンなどの金属膜を付けるイオンプレーティング技術を確立し、現在、パチンコ玉やスロットルのコインの表面処理について、国内シェアナンバーワン（90％）を誇ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html
独自開発の弾性テンプルを搭載したメガネフレーム,,ファッション,青山眼鏡株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/aoyamamegane02.jpg,独創的なテンプルの構造「マルチアーチシステム」を開発,理想の掛け心地を追求することでたどり着いた、画期的なテンプル構造「マルチアーチシステム」。軽量で弾性に優れた素材であるβチタンの板材を、ダブルアーチとシングルアーチに加工し、組み合わせる事で一枚のテンプルにしました。緻密に計算された曲線のパーツを組み合せる「マルチアーチシステム」により、これまでの眼鏡では得ることの出来なかった、理想的な掛け心地を生み出しました。その「マルチアーチシステム」を搭載したオリジナルブランド「バネリーナ」「バネリーノ」。バレエダンサーのようにしなやかで優雅なフォルム、軽くソフトでありながら、しっかりとしたフィット感は掛けていることを忘れてしまうほど。もちろん掛け心地だけではなく、「マルチアーチシステム」の構造を最大限活かしたデザインバリエーションは好評を博しており、毎コレクション多彩なデザインを展開しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/124.html
眼鏡用高屈折率プラスチックレンズ,国内シェア4位,ファッション,株式会社アサヒオプティカル,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/asahioptical02.jpg,プラスチックレンズの成形・表面処理加工の総合技術,当社は、1987年に世界で初めて高屈折率の薄型レンズを製造し、また1994年にはさらに屈折率を高めた世界初の超薄型レンズを開発、そのレンズは日本メーカーとして初めて全米眼鏡業協会の最優秀レンズ賞を受賞しました。その後2000年には屈折率1.74レンズを発売し、現在、高屈折プラスチックレンズにおいて国内シェア第4位を誇っています。また、当社は「ASAHI-LITE」のブランドにて積極的に海外展開を行い、世界各国で開催されている眼鏡展示会にも多く参加しています。現在、約35か国の国や地域にレンズを販売しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/125.html
折りたたみ式サポートマット（防災マット）,,社会インフラ・ソリューション,稲山織物株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/inayama02.jpg,多数の防災用品の役割をこなし、さらに保管機能にも優れた製品,折りたたみ式サポートマットは睡眠確保を中心に、その他災害時に役立つ数々の機能を備えています。まず、吸水性の低い発泡ポリエチレンを使用し、生地に撥水性の高い素材を使ったことから、水に浮かべる浮き具として使うことも可能です。また、マットの縁に高強度の10本の持ち手を付けており、搬送用の担架としても使用できます。さらには、コンパクトに折りたたんで腰かけとしても活用でき、平常時は省スペースで保管することが可能となっています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/020.html
免震エキスパンションジョイントカバー,,社会インフラ・ソリューション,井上商事株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/inoueshoji02.jpg,地震の動きを再現し、さまざまな振動実験が行える３次元振動台を自社開発,地震国である日本では、庁舎、病院、消防署など地域の防災拠点となる建物や、中高層のマンション、高層のオフィスビルなどを主に年間300棟前後、地震に強い構造の免震建物が設計・施工されています。免震建物と非免震建物や基礎との取合い部には、免震建物の地震時の大きな動きに見合ったクリアランス（隙間）が設けられます。免震エキスパンションジョイントカバーは、このクリアランスのカバー材のことで免震建物の大きな動きに従って動き、破壊や脱落したりしない機能を求められています。当社の免震エキスパンションジョイントカバーは、地震時の地面の動きや建物の動きを再現できる振動台を用い、すべて試験を行って安全性を確認しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/088.html
