companyname,industry,tagline,description,city,zipcode,address,tel,fax,url,mail,president,contact,establishment,year_capital,n_employees,message,srcurl,amount_sales,main_client,start_business,office,branch,shop,start_branch,headoffice,oversea_branch,tel2,fax2
株式会社アイケープラスト,プラスチック,国内シェアNo.１のチルドコーヒー飲料容器！,プラスチック食品容器製造,敦賀市,914-1041,敦賀市莇生野62号56番地の2,0770-24-2281,0770-24-2291,https://www.ikplast.co.jp/,info@ikplast.co.jp,代表取締役社長 生駒 哲也,総務部総務課,2005年,"2,000万円",320名,弊社は、母体が横浜市にある企業です。分社化して敦賀市に進出して以来、福井県、敦賀市、美浜町には大変お世話になって参りました。地元で入社してもらった従業員、支えて頂いた地元企業様とともに引き続き地元行政に貢献して参ります。また弊社の主力製品である機能性食品容器を通して、食の安全と保存性を更に探求し、食品流通業界の発展にも貢献して参ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/73.html,,,,,,,,,,,
株式会社アートファイネックス,ICT（情報通信技術）,産業、医療、公共で多くの実績を有する無線通信技術,・RFID製品の設計、開発、販売、サポート・電子回路の設計、開発、販売・組込みソフトウエア設計、    開発・制御システムの設計、開発・導入事例    入退室管理、登下校メール配信システム、    複合機個人認証、医療検体管理、劇薬管理、    医療チューブ個体管理、電子マネー用途、    カーシェアリング、電子機器認証、介護向け管理、    鉄道車両位置管理、医療機器所在管理、他,鯖江市,916-0037,鯖江市上河端町6-1-33,0778-54-8085,0778-54-8092,https://artfinex.co.jp,info@artfinex.co.jp,代表取締役 三好 寛明,ICT事業部 営業部 部長 池田 岳,2011年11月,"5,000万円",24名,企業のICT導入による経営の効率化の要求は益々増加しています。弊社では、RFIDを基軸に無線デバイスを応用したソリューションに注力しております。ホームページにも多くの活用事例を掲載しておりますので、ぜひご覧ください。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/154.html,7億円,岡本無線電機㈱、加賀電子㈱、㈱サトー、ダイトロン㈱、大日本印刷㈱、凸版印刷㈱、トッパンフォームズ㈱、ネクスティエレクトロニクス㈱、日揮グローバル㈱、村田製作所グループ、菱電商事㈱、ほか,,,,,,,,,
株式会社アイシン福井,機械・金属,ものづくりを通して鍛え続けてきたコア技術,オートマチックトランスミッション（AT）部品ハイブリッドトランスミッション部品電動駆動ユニット（eAxle）部品の開発および製造,越前市,915-8520,越前市池ノ上町38,0778-25-6611,0778-25-6665,https://www.aisin-fukui.co.jp,,取締役社長 桑山 善成,総務部 三田村 祐美子,1983年3月,"20億5,775万円","3,224名",私たちは、アイシングループの一員として“移動”に感動を、未来に笑顔を。の経営理念のもと、これまで培ってきたモノづくりの技術と技能に一層の磨きをかけ、電動化・カーボンニュートラルに挑戦し、働く仲間も幸せを感じられる企業であり続けるため、サスティナブルな未来社会づくりに貢献してまいります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/087.html,"1,570億円",株式会社アイシン2022年3月末現在,,,,,,,,,
アイテック株式会社,化学,機能めっき・装飾メッキ技術で世界をリード表面処理のプロ集団,表面処理業およびメガネ枠の企画・販売・（貴金属めっき（メガネ枠）・プラチナめっき（電極・メガネ枠））・電着塗装、溶接塗装（メガネ枠、家電品筐体）・イオンプレーティング（メガネ枠・スポーツ用品など）,鯖江市,916-0016,鯖江市神中町2-6-8,0778-52-8647,0778-51-4136,https://www.eyetec.co.jp/,kurizuka@eyetec.co.jp,代表取締役社長 黒田 優,表面処理事業部 営業部部長 栗塚 明彦,1948年,"9,500万円",200名,当社は昭和23年に、眼鏡フレームの産地である福井県鯖江市で創業しました。表面処理加工メーカーとして眼鏡業界と共に成長し、装飾面だけではなく、機能面でも優れた表面処理技術の開発に取り組み、家電製品やスポーツ用品をはじめとした眼鏡業界以外の分野にも積極的に進出し、実績を積んで参りました。今後も、様々な分野でのめっき加工にご奉仕します。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html,"33億1,500万円",㈱シャルマン、㈱メガネトップ、㈱ナカニシビジョン、日本シャフト㈱、藤倉ゴム工業㈱ 他,,,,,,,,,
青山眼鏡株式会社,眼鏡,確かな技術とデザインの融合挑戦し続けるメガネフレームメーカー,眼鏡枠・サングラス・老眼鏡・ファッショングラスの企画、デザイン、製造、販売,鯖江市,916-8505,鯖江市神中町2丁目3-30,0778-54-8054,0778-54-8065,https://aoyamaopt.co.jp/,info@aoyamaopt.co.jp,代表取締役社長 青山 嘉彦,石田 和也,1964年,"9,360万円",170名,当社の企業理念は「眼鏡を通して、人が、明るく、快適な人生を送るお手伝いをする。」です。メガネを使う人（ユーザー様）だけでなくメガネの企画開発に関わる人（社員）、メガネを製造する人（取引メーカー様）、メガネを販売する人（小売店・問屋様）など当社に関わる全ての人達の人生を明るく快適にする事を目指しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/124.html,45億円,眼鏡市場、弐萬圓堂、和真、しまむら、セブン＆アイホールディングス,,,,,,,,,
株式会社アサヒオプティカル,眼鏡,世界に先駆けて眼鏡用高屈折率プラスチック製薄型レンズを製造,プラスチックレンズおよびガラス製眼鏡レンズ/光学レンズの製造販売、輸入、輸出、特殊加工/眼鏡レンズ用ハードコート液の製造販売・屈折率1.74/1.67/1.60UV3Gプラスチックレンズ・屈折率1.74/1.67両面非球面プラスチックレンズ・屈折率1.74/1.67/1.60累進プラスチックレンズ・屈折率1.74/1.67/1.60バイフォーカルプラスチックレンズ、単焦点プラスッチクレンズ など,鯖江市,916-0038,鯖江市下河端町47-26,0778-54-9001,0778-54-8888,https://www.asahi-lite.co.jp,ysaitoh@asahi-lite.co.jp,代表取締役社長 酒井 順二,技術部部長 酒井 貴浩,1980年12月,1億円,100名,従来の低・中屈折率樹脂レンズに比べて「軽く、薄く、そして靭（強）い」高屈折率樹脂レンズの新時代の幕を拓いたのは当社です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/125.html,26億円,国内大手チェーン店、中小規模眼鏡小売店 他,,,,,,,,,
稲山織物株式会社,繊維,災害時の避難所などでの安眠確保に貢献する多機能マットを開発,合繊織物の企画開発、製造、販売・スポーツ衣料・ユニフォーム衣料用機能性素材・婦人衣料用高感性素材,大野市,912-0053,大野市春日64-50,0779-66-3360,0779-66-1780,http://www.inayama-enashop.com,info@inayama.co.jp,代表取締役社長 稲山 幹夫,財経総務課 課長 松本 成樹,1963年1月,"5,000万円",60名,長時間の避難生活による体力消耗が原因で起こる二次被害が問題となっており、もしもの時に防災アイテムを備えているかどうかが運命の大きな分かれ目となります。当社が長年にわたり培ってきた織物のテクノロジーを活かしたこの製品により、二次被害防止に貢献したいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/020.html,"5億5,000万円",伊藤忠商事㈱、帝人フロンティア㈱、三菱レイヨン㈱、各地方自治体 他,1932年11月,,,,,,,,
井上商事株式会社,機械・金属,お客様と社会にいつも小さな感動を,アルミ外装建材「シルバーライン」の製造販売（エキスパンション、手すり、軒先製品、笠木、ソーラーフレーム、ノンシールパネル ほか建築）資材の販売・施工（ALC工事、耐火被覆工事、現場発泡ウレタン吹付工事、各種セメント ほか）環境エネルギー関連商品販売（産業用燃料、LPガス、太陽光発電ほか）サービスステーションの運営（福井県内に4カ所運営）,福井市,910-0859,福井市日之出2-1-6,0776-27-8380,0776-27-4581,https://www.inoue-s.co.jp/,,代表取締役社長 井上 繁,総務部 松浦 奈々恵,1947年,1億円,171名,技術力を高め独自性ある『ものづくり』を行うことをモットーにしています。お客様からの要望や期待を形にして特徴ある製品を作り出すことと併せ、新商品開発にも当社メカトロ開発部の技術が盛り込まれています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/088.html,"118憶8,500万円（2020年度実績）",㈱LIXIL、YKK AP㈱、太平洋セメント㈱、大成建設㈱、大和ハウス工業㈱,,,,,,,,,
井上リボン工業株式会社,繊維,リボン、ストレッチテープ、ニットテープの専門メーカ,細幅織物製造・ 衣料資材（インナー、アウター、スポーツ）・ラッピング用リボン・工業資材用テープ,越前市,915-0243,越前市千原町2-6,0778-43-0810,0778-43-0807,https://www.telala.com,info@telala.com,代表取締役社長 井上 博之,企画 吉本 千絵,1963年8月,"4,000万円",140名,当社はアウター、インナー、スポーツ衣料品用の副資材テープ・リボンと、産業資材テープのメーカーです。今回初めて、これらのテープ・リボンを使用したインテリアグッズの最終商品に挑戦しました。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/021.html,,,,,,,,,,,
岩崎工業株式会社,機械・金属,除雪装置を装備した除雪トラックを日本各地の道路、空港などに供給,除雪トラック、スノープラウなどの設計、製造（除雪トラック、除雪トラック用除雪装置、その他除雪装置、照明車）,福井市,910-0017,福井市文京1丁目37-6,0776-73-2256,0776-73-3212,https://www.iwasaki-kogyo.co.jp,sales@iwasaki-kogyo.co.jp,代表取締役 岩﨑 茂雄,総務部 岩﨑 真喜子,1952年6月,"3,000万円",47名,今後も、除雪機械という特殊な製品を主に、市場ニーズに応えた製品づくりに励んでいきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/089.html,"31億3,200万円",国土交通省、防衛省、東・中・西日本高速道路㈱、各県・市・町・村、UDトラックス㈱ 他,,〒919-0614 あわら市伊井60-24-1,,,,,,,
